paxCode,label,steamId
PAX0011813300,Saint Seiya: Soldiers' Soul,348710
PAX0011823670,Tales of Arise (Deluxe Edition),
PAX0011827682,Tales of Arise (Ultimate Edition),
PAX0011827716,Tales of Arise,740130
PAX0011827886,One Piece: Burning Blood (Gold Edition),501580
PAX0011828022,Captain Tsubasa: Rise of New Champions,1163550
PAX0011885346,The Dark Pictures Anthology: House of Ashes,1281590
PAX0011886978,Super Robot Wars 30,898750
PAX0011909384,Project Cars 2,378860
PAX0011909486,Naruto to Boruto: Shinobi Striker,633230
PAX0011909554,Dragon Ball FighterZ (Ultimate Edition),
PAX0011910030,Tekken 7 (Ultimate Edition),
PAX0011917170,SD Gundam G Generation Cross Rays: Season Pass (DLC),1170814
PAX0011920978,Dragon Ball Xenoverse 2: Super Pass (DLC),507510
PAX0011923630,Super Robot Wars 30 (Deluxe Edition),
PAX0011934816,Super Robot Wars 30 (Ultimate Edition),
PAX0011937230,Tales of Arise,740130
PAX0012031750,Dark Souls III: The Ringed City (DLC),506971
PAX0012032566,Naruto Shippuden: Ultimate Ninja Storm 4,349040
PAX0012040862,The Dark Pictures Anthology: Man of Medan,939850
PAX0012041508,One Punch Man: A Hero Nobody Knows (Deluxe Edition),
PAX0012042630,One Piece: Unlimited World Red (Deluxe Edition),571720
PAX0012071802,Captain Tsubasa: Rise of New Champions,1163550
PAX0012071904,Fast & Furious Crossroads,678030
PAX0012074590,Elden Ring,1245620
PAX0012087952,Elden Ring (Deluxe Edition),614418
PAX0012109542,Ace Combat 7: Skies Unknown,502500
PAX0012112024,Tekken 7 Season Pass (DLC),580020
PAX0012117022,Elden Ring,1245620
PAX0012122734,Elden Ring (Deluxe Edition),
PAX0012123652,Elden Ring (Deluxe Edition),
PAX0012146534,Elden Ring,1245620
PAX0012306674,Dragon Ball: Xenoverse 2,454650
PAX0012311128,My Hero One's Justice,748360
PAX0012314154,Ni no Kuni II: Revenant Kingdom,589360
PAX0012319356,New Gundam Breaker,738530
PAX0012319390,Ni no Kuni II: Revenant Kingdom (The Prince's Edition),589360
PAX0012336220,Soulcalibur VI (Deluxe Edition),
PAX0012347984,The Dark Pictures Triple Pack,
PAX0012403812,Klonoa Phantasy Reverie Series,1730680
PAX0012413910,Digimon Survive,871980
PAX0012417582,SD Gundam Battle Alliance,824550
PAX0012423736,Pac-Man World Re-Pac,1859470
PAX0012435840,Jojo's Bizarre Adventure: All-Star Battle R,1372110
PAX0012511422,Tales of Zestiria,351970
PAX0012513802,One Piece Pirate Warriors 3,331600
PAX0012521486,Scarlet Nexus: Weapon Bundle (DLC),
PAX0012527878,Dragon Ball: The Breakers (Special Edition),1777260
PAX0012529510,Dragon Ball: The Breakers,1276760
PAX0012530020,Tekken 7 (Originals Edition),
PAX0012535698,Tekken 7 (Definitive Edition),389730
PAX0012537704,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,
PAX0012551304,Naruto To Boruto: Shinobi Striker Season Pass 4,1090165
PAX0012561776,Doraemon Story of Seasons: Friends of the Great Kingdom,1492730
PAX0012573438,Elden Ring,
PAX0012574356,The Dark Pictures Anthology: The Devil in Me,1567020
PAX0012652998,One Piece Odyssey,814000
PAX0012673398,Dragon Ball Z: Kakarot (Legendary Edition),
PAX0012673432,One Piece Odyssey (Deluxe Edition),
PAX0012723344,Digimon World: Next Order,1530160
PAX0012760472,Dragon Ball: Xenoverse 2 (Deluxe Edition),
PAX0012793044,Elden Ring (Deluxe Edition),
PAX0012793894,Dragon Ball: Xenoverse Super Bundle,
PAX0012872162,We Love Katamari Reroll + Royal Reverie,1730700
PAX0012884402,Naruto Shippuden: Ultimate Ninja Storm Revolution,272510
PAX0012897084,Park Beyond,1368130
PAX0012925168,Dragon Ball FighterZ,
PAX0012925644,Tales of Vesperia (Definitive Edition),
PAX0012925712,Dragon Ball Z: Kakarot,
PAX0012983614,Dragon Ball: The Breakers (Special Edition),
PAX0012983648,Naruto Storm 4: Road to Boruto Expansion (DLC),
PAX0012985416,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,
PAX0012986062,The Dark Pictures Anthology: The Devil in Me,1567020
PAX0013007346,Dragon Ball: Xenoverse 2,
PAX0013013670,Pac-Man Championship Edition DX+,236450
PAX0013064568,Bandai Namco Coin 3000 Yen | Japan Account Only,
PAX0013069260,Armored Core VI: Fires Of Rubicon (Deluxe Edition),
PAX0013073340,Armored Core VI: Fires Of Rubicon,
PAX0013073374,Armored Core VI: Fires Of Rubicon,
PAX0013077488,Armored Core VI: Fires Of Rubicon,1888160
PAX0013153750,Jojo's Bizarre Adventure: All-Star Battle R (Deluxe Edition),
PAX0013154124,Dark Souls: Remastered,
PAX0013159190,Sword Art Online: Last Recollection,1566880
PAX0013163610,One Piece Pirate Warriors 3 Story Pack (DLC),378501
PAX0013212740,Elden Ring,
PAX0013268670,Dark Souls II: Scholar of the First Sin,335300
PAX0013400964,Elden Ring (Deluxe Edition),
PAX0013411368,Tekken 8,1778820
PAX0013412422,Jujutsu Kaisen Cursed Clash,1877020
PAX0013418984,Tekken 8,1778820
PAX0013419936,Tekken 8 (Deluxe Edition),
PAX0013420038,Tekken 8 (Ultimate Edition),
PAX0013420072,Tekken 8,1778820
PAX0013426702,Tekken 8 (Deluxe Edition),
PAX0013432856,Tekken 8 (Deluxe Edition),912717
PAX0013432958,Tekken 8 (Ultimate Edition),912715
PAX0013436324,Tekken 8 (Ultimate Edition),
PAX0013436664,Jujutsu Kaisen Cursed Clash,1877020
