Normalized Name,Product Name,reseller
ace_combat_8_wings_of_theve_deluxe,ACE COMBAT 8: WINGS OF THEVE Digital Deluxe Edition,Sonkwo
armored_core_vi_fires_of_rubicon,ARMORED CORE VI FIRES OF RUBICON Standard Edition,Sonkwo
armored_core_vi_fires_of_rubicon_deluxe,ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,Sonkwo
baten_kaitos_i_ii_hd_remaster,Baten Kaitos I & II HD Remaster,Sonkwo
black_clover_quartet_knights_deluxe,BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,Sonkwo
bleach_rebirth_of_souls,BLEACH Rebirth of Souls,Sonkwo
bleach_rebirth_of_souls_deluxe,BLEACH Rebirth of Souls Deluxe Edition,Sonkwo
bleach_rebirth_of_souls_ultimate,BLEACH Rebirth of Souls Ultimate Edition,Sonkwo
captain_tsubasa_2_world_fighters_deluxe,CAPTAIN TSUBASA 2: WORLD FIGHTERS - Deluxe Edition,Sonkwo
captain_tsubasa_2_world_fighters_ultimate,CAPTAIN TSUBASA 2: WORLD FIGHTERS - Ultimate Edition,Sonkwo
captain_tsubasa_rise_of_new_champions,Captain Tsubasa: Rise of New Champions,Sonkwo
captain_tsubasa_rise_of_new_champions_deluxe,Captain Tsubasa: Rise of New Champions - Deluxe Edition,Sonkwo
captain_tsubasa_rise_of_new_champions_ultimate,Captain Tsubasa: Rise of New Champions - Ultimate Edition,Sonkwo
code_vein,CODE VEIN,Sonkwo
code_vein_deluxe,CODE VEIN Deluxe Edition,Sonkwo
code_vein_ii,CODE VEIN II,Sonkwo
code_vein_ii_deluxe,CODE VEIN II Deluxe Edition,Sonkwo
code_vein_ii_ultimate,CODE VEIN II Ultimate Edition,Sonkwo
dark_souls_ii_scholar_of_the_first_sin,DARK SOULS™ II: Scholar of the First Sin,Sonkwo
dark_souls_iii,DARK SOULS™ III,Sonkwo
dark_souls_iii_deluxe,DARK SOULS III Deluxe Edition,Sonkwo
dark_souls_remastered,DARK SOULS™: REMASTERED,Sonkwo
death_note_killer_within,DEATH NOTE Killer Within,Sonkwo
death_note_killer_within_special,DEATH NOTE Killer Within Special Edition,Sonkwo
digimon_story_cyber_sleuth_complete,Digimon Story Cyber Sleuth: Complete Edition,Sonkwo
digimon_story_time_stranger,Digimon Story Time Stranger,Sonkwo
digimon_story_time_stranger_deluxe,Digimon Story Time Stranger Deluxe Edition,Sonkwo
digimon_story_time_stranger_ultimate,Digimon Story Time Stranger Ultimate Edition,Sonkwo
digimon_survive,Digimon Survive,Sonkwo
digimon_world_next_order,Digimon World: Next Order,Sonkwo
doraemon_story_of_seasons,Doraemon Story of Seasons,Sonkwo
doraemon_story_of_seasons_friends_of_the_great_kingdom,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,Sonkwo
doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,Sonkwo
dragon_ball_fighterz,DRAGON BALL FighterZ,Sonkwo
dragon_ball_fighterz_fighterz,DRAGON BALL FighterZ - FighterZ Edition,Sonkwo
dragon_ball_fighterz_legendary,DRAGON BALL FighterZ - Legendary Edition,Sonkwo
dragon_ball_sparking_zero,DRAGON BALL: Sparking! ZERO,Sonkwo
dragon_ball_sparking_zero_deluxe,DRAGON BALL: Sparking! ZERO Deluxe Edition,Sonkwo
dragon_ball_the_breakers,DRAGON BALL: THE BREAKERS,Sonkwo
dragon_ball_the_breakers_special,DRAGON BALL: THE BREAKERS Special Edition,Sonkwo
dragon_ball_xenoverse_2,DRAGON BALL XENOVERSE 2,Sonkwo
dragon_ball_xenoverse_2_deluxe,DRAGON BALL XENOVERSE 2 Deluxe Edition,Sonkwo
dragon_ball_xenoverse_2_special,DRAGON BALL XENOVERSE 2 Special Edition,Sonkwo
dragon_ball_z_kakarot,DRAGON BALL Z: KAKAROT,Sonkwo
dragon_ball_z_kakarot_daima,DRAGON BALL Z: KAKAROT DAIMA EDITION,Sonkwo
dragon_ball_z_kakarot_deluxe,DRAGON BALL Z: KAKAROT Deluxe Edition,Sonkwo
dragon_ball_z_kakarot_legendary,DRAGON BALL Z: KAKAROT Legendary Edition,Sonkwo
dragon_ball_z_kakarot_master,DRAGON BALL Z: KAKAROT MASTER EDITION,Sonkwo
echoes_of_aincrad,Echoes of Aincrad,Sonkwo
echoes_of_aincrad_deluxe,Echoes of Aincrad Deluxe Edition,Sonkwo
echoes_of_aincrad_ultimate,Echoes of Aincrad Ultimate Edition,Sonkwo
everybody_s_golf_hot_shots,EVERYBODY'S GOLF HOT SHOTS,Sonkwo
god_eater_2_rage_burst,GOD EATER 2 Rage Burst,Sonkwo
god_eater_3,GOD EATER 3,Sonkwo
gundam_breaker_4_ultimate,GUNDAM BREAKER 4 Ultimate Edition,Sonkwo
hack_g_u_last_recode,.hack//G.U. Last Recode,Sonkwo
jojo_s_bizarre_adventure_all_star_battle_r,JoJo's Bizarre Adventure: All-Star Battle R,Sonkwo
jojo_s_bizarre_adventure_all_star_battle_r_deluxe,JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,Sonkwo
jojo_s_bizarre_adventure_all_star_battle_r_ultimate,JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,Sonkwo
jujutsu_kaisen_cursed_clash,Jujutsu Kaisen Cursed Clash,Sonkwo
jujutsu_kaisen_cursed_clash_deluxe,Jujutsu Kaisen Cursed Clash Deluxe Edition,Sonkwo
jujutsu_kaisen_cursed_clash_ultimate,Jujutsu Kaisen Cursed Clash Ultimate Edition,Sonkwo
klonoa_phantasy_reverie_series,Klonoa Phantasy Reverie Series,Sonkwo
little_nightmares_iii,Little Nightmares III,Sonkwo
little_nightmares_iii_deluxe,Little Nightmares III Digital Deluxe Edition,Sonkwo
little_nightmares_vr_altered_echoes,Little Nightmares VR: Altered Echoes,Sonkwo
mobile_suit_gundam_seed_battle_destiny_remastered,MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,Sonkwo
naruto_shippuden_ultimate_ninja_storm_2,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,Sonkwo
naruto_shippuden_ultimate_ninja_storm_4,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,Sonkwo
naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,Sonkwo
naruto_shippuden_ultimate_ninja_storm_legacy,NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,Sonkwo
naruto_shippuden_ultimate_ninja_storm_trilogy,NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,Sonkwo
naruto_to_boruto_shinobi_striker,NARUTO TO BORUTO: SHINOBI STRIKER,Sonkwo
naruto_to_boruto_shinobi_striker_deluxe,NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,Sonkwo
naruto_to_boruto_shinobi_striker_ultimate,NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,Sonkwo
naruto_ultimate_ninja_storm,NARUTO: Ultimate Ninja STORM,Sonkwo
naruto_x_boruto_ultimate_ninja_storm_connections,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Sonkwo
naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,Sonkwo
naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,Sonkwo
new_gundam_breaker,New Gundam Breaker,Sonkwo
once_upon_a_katamari,Once Upon A KATAMARI,Sonkwo
once_upon_a_katamari_king_of_all_sounds,Once Upon A KATAMARI - King of All Sounds Edition,Sonkwo
one_piece_burning_blood,One Piece Burning Blood,Sonkwo
one_piece_burning_blood_gold,One Piece Burning Blood Gold Edition,Sonkwo
one_piece_odyssey_deluxe,ONE PIECE ODYSSEY Deluxe Edition,Sonkwo
one_piece_pirate_warriors_4,ONE PIECE: PIRATE WARRIORS 4,Sonkwo
one_piece_pirate_warriors_4_deluxe,ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,Sonkwo
one_piece_pirate_warriors_4_legendary,ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,Sonkwo
one_piece_pirate_warriors_4_ultimate,ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,Sonkwo
one_piece_world_seeker,One Piece World Seeker,Sonkwo
one_piece_world_seeker_deluxe,One Piece World Seeker Deluxe Edition,Sonkwo
one_punch_man_a_hero_nobody_knows,ONE PUNCH MAN: A HERO NOBODY KNOWS,Sonkwo
pac_man_mega_tunnel_battle_chomp_champs,PAC-MAN Mega Tunnel Battle: Chomp Champs,Sonkwo
pac_man_mega_tunnel_battle_chomp_champs_deluxe,PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,Sonkwo
pac_man_world_2_re_pac,PAC-MAN WORLD 2 Re-PAC,Sonkwo
pac_man_world_2_re_pac_deluxe,PAC-MAN WORLD 2 Re-PAC Deluxe Edition,Sonkwo
patapon_1_2_replay,PATAPON 1+2 REPLAY,Sonkwo
sand_land,SAND LAND,Sonkwo
sand_land_deluxe,SAND LAND Deluxe Edition,Sonkwo
scarlet_nexus,SCARLET NEXUS,Sonkwo
scarlet_nexus_deluxe,SCARLET NEXUS Deluxe Edition,Sonkwo
scarlet_nexus_ultimate,SCARLET NEXUS Ultimate Edition,Sonkwo
sd_gundam_battle_alliance,SD GUNDAM BATTLE ALLIANCE,Sonkwo
sd_gundam_battle_alliance_deluxe,SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,Sonkwo
